Time,Velocity,Acceleration,Altitude,Thrust
4.25,50.63832759,-6.179947266,49.77076497,14.5
4.26,50.57659702,-6.173056883,49.94385269,14.5
4.27,50.51493519,-6.166182572,50.11672939,14.5
4.28,50.45334195,-6.159324288,50.28939531,14.5
4.29,50.39181713,-6.152481984,50.46185069,14.5
4.3,50.33036057,-6.145655616,50.63409576,14.5
4.31,50.26897212,-6.138845137,50.80613075,14.5
4.32,50.20765162,-6.132050502,50.9779559,14.5
4.33,50.1463989,-6.125271667,51.14957143,14.5
4.34,50.08521381,-6.118508586,51.32097758,14.5
4.35,50.0240962,-6.111761215,51.49217458,14.5
4.36,49.96304591,-6.105029508,51.66316267,14.5
4.37,49.90206277,-6.098313422,51.83394206,14.5
4.38,49.84114664,-6.091612913,52.004513,14.5
4.39,49.78029736,-6.084927935,52.1748757,14.5
4.4,49.71951478,-6.078258445,52.3450304,14.5
4.41,49.65879873,-6.0716044,52.51497732,14.5
4.42,49.59814908,-6.064965756,52.6847167,14.5
4.43,49.53756565,-6.058342468,52.85424876,14.5
4.44,49.47704831,-6.051734495,53.02357372,14.5
4.45,49.41659689,-6.045141792,53.19269181,14.5
4.46,49.35621125,-6.038564317,53.36160326,14.5
4.47,49.29589123,-6.032002027,53.5303083,14.5
4.48,49.23563668,-6.02545488,53.69880713,14.5
4.49,49.17544745,-6.018922831,53.8671,14.5
4.5,49.11532339,-6.012405841,54.03518711,14.5
4.51,49.05526435,-6.005903865,54.20306871,14.5
4.52,48.99527018,-5.999416862,54.370745,14.5
4.53,48.93534074,-5.99294479,54.5382162,14.5
4.54,48.87547586,-5.986487607,54.70548255,14.5
4.55,48.81567541,-5.980045273,54.87254426,14.5
4.56,48.75593923,-5.973617744,55.03940155,14.5
4.57,48.69626718,-5.96720498,55.20605464,14.5
4.58,48.63665911,-5.96080694,55.37250374,14.5
4.59,48.57711487,-5.954423583,55.53874909,14.5
4.6,48.51763433,-5.948054867,55.70479089,14.5
4.61,48.45821732,-5.941700753,55.87062936,14.5
4.62,48.39886371,-5.935361199,56.03626472,14.5
4.63,48.33957334,-5.929036165,56.2016972,14.5
4.64,48.28034609,-5.922725611,56.36692699,14.5
4.65,48.22118179,-5.916429496,56.53195432,14.5
4.66,48.16208032,-5.910147782,56.69677941,14.5
4.67,48.10304151,-5.903880427,56.86140246,14.5
4.68,48.04406524,-5.897627392,57.0258237,14.5
4.69,47.98515135,-5.891388638,57.19004333,14.5
4.7,47.92629971,-5.885164125,57.35406157,14.5
4.71,47.86751017,-5.878953814,57.51787863,14.5
4.72,47.8087826,-5.872757665,57.68149473,14.5
4.73,47.75011684,-5.86657564,57.84491007,14.5
4.74,47.69151276,-5.860407701,58.00812487,14.5
4.75,47.63297022,-5.854253807,58.17113934,14.5
4.76,47.57448908,-5.84811392,58.33395368,14.5
4.77,47.5160692,-5.841988003,58.49656811,14.5
4.78,47.45771044,-5.835876017,58.65898284,14.5
4.79,47.39941266,-5.829777923,58.82119808,14.5
4.8,47.34117573,-5.823693684,58.98321402,14.5
4.81,47.2829995,-5.817623261,59.14503089,14.5
4.82,47.22488383,-5.811566617,59.30664889,14.5
4.83,47.16682859,-5.805523715,59.46806823,14.5
4.84,47.10883365,-5.799494516,59.62928911,14.5
4.85,47.05089886,-5.793478984,59.79031173,14.5
4.86,46.99302409,-5.787477081,59.95113631,14.5
4.87,46.9352092,-5.78148877,60.11176305,14.5
4.88,46.87745406,-5.775514014,60.27219215,14.5
4.89,46.81975853,-5.769552777,60.43242382,14.5
4.9,46.76212248,-5.763605021,60.59245827,14.5
4.91,46.70454577,-5.75767071,60.75229568,14.5
4.92,46.64702828,-5.751749807,60.91193628,14.5
4.93,46.58956985,-5.745842277,61.07138025,14.5
4.94,46.53217037,-5.739948083,61.2306278,14.5
4.95,46.4748297,-5.734067188,61.38967914,14.5
4.96,46.4175477,-5.728199558,61.54853446,14.5
4.97,46.36032425,-5.722345156,61.70719397,14.5
4.98,46.30315921,-5.716503947,61.86565786,14.5
4.99,46.24605245,-5.710675894,62.02392633,14.5
5,46.18900384,-5.704860963,62.18199959,14.5
5.01,46.13201325,-5.699059119,62.33987782,14.5
5.02,46.07508055,-5.693270325,62.49756124,14.5
5.03,46.0182056,-5.687494547,62.65505004,14.5
5.04,45.96138829,-5.681731751,62.81234441,14.5
5.05,45.90462847,-5.675981901,62.96944455,14.5
5.06,45.84792602,-5.670244962,63.12635066,14.5
5.07,45.79128081,-5.6645209,63.28306293,14.5
5.08,45.73469271,-5.658809681,63.43958156,14.5
5.09,45.6781616,-5.65311127,63.59590675,14.5
5.1,45.62168734,-5.647425633,63.75203869,14.5
5.11,45.56526982,-5.641752736,63.90797757,14.5
5.12,45.50890889,-5.636092545,64.06372359,14.5
5.13,45.45260444,-5.630445026,64.21927693,14.5
5.14,45.39635634,-5.624810145,64.37463781,14.5
5.15,45.34016446,-5.619187869,64.5298064,14.5
5.16,45.28402868,-5.613578165,64.68478289,14.5
5.17,45.22794887,-5.607980998,64.83956749,14.5
5.18,45.17192491,-5.602396336,64.99416038,14.5
5.19,45.11595666,-5.596824145,65.14856175,14.5
5.2,45.06004402,-5.591264392,65.3027718,14.5
5.21,45.00418685,-5.585717046,65.4567907,14.5
5.22,44.94838503,-5.580182071,65.61061866,14.5
5.23,44.89263843,-5.574659437,65.76425586,14.5
5.24,44.83694694,-5.56914911,65.91770249,14.5
5.25,44.78131043,-5.563651059,66.07095873,14.5
5.26,44.72572878,-5.558165249,66.22402478,14.5
5.27,44.67020186,-5.55269165,66.37690083,14.5
